mr,ref
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x is an familyFriendly_x area_x near_x in the food_x.  With a price range of priceRange_x, it is customer rating_xly rated and is not conducive for kids."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is an food_x priceRange_x located near near_x in the area_x. The rice Boat is familyFriendly_x has a rating of customer rating_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x, a food_x restaurant rated customer rating_x by customers is located near near_x, in the area_x. However, it is not familyFriendly_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","In the area_x, near_x there is name_x, that serves food_x food, is non-familyFriendly_x expensive and highly rated."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",An food_x restaurant named name_x has a price range priceRange_x. It has a customer rating_x customer rating and is not familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x is  located near_x. It serves food_x food, is familyFriendly_x, is expensive and has a high customer rating."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]","The food_x shop, name_x, familyFriendly_x has customer rating_x customer rating."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",name_x is familyFriendly_x They are in the priceRange_x price range and have a customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",food_x food place with their prices ranges priceRange_x. They are located in area_x with a customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is a area_x priced takeaway restaurant. food_x close to near_x near to the City Centre
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","name_x is a eatType_x with a priceRange_x price range, a customer rating of customer rating_x and it familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","area_x, can be found near near_x, in food_x, but it is familyFriendly_x has customer rating_x ratings."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], area[area_x], near[near_x]","The eatType_x, name_x on area_x near near_x, has a poor customer rating of customer rating_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x provides food_x food. It has a customer rating of customer rating_x. It is located in the area_x and is not familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x is familyFriendly_x north of near_x food_x price range.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]","food_x food serving name_x, a eatType_x near near_x, is priceRange_x, familyFriendly_x and has a customer rating_x out of 5 customer rating."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is familyFriendly_x with priceRange_x prices and a customer rating customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",For food_x food of a priceRange_x price range name_x in a good option. It is located in the area_x area.
"name[name_x], eatType[eatType_x], near[near_x]",There is a eatType_x  called name_x located near near_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]","food_x, located near the near_x in area_x, familyFriendly_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",Stay away from name_x if you want food_x in area_x.  They have priceRange_x prices and terrible ratings.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",Near near_x is familyFriendly_x that is priceRange_xly priced and serves food_x food.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",There is a familyFriendly_x name_x in the area_x that provides food_x food at priceRange_x price. It is located near near_x and it has customer rating customer rating_x
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a venue with priceRange_x prices and customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",The name_x is area_x customer rating_x rating of 1 out of 5.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","familyFriendly_x, name_x, is located in area_x. It is next to near_x.  They are customer rated customer rating_x and are in the price range priceRange_x"
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x familyFriendly_x priceRange_x near near_x at the area_x area.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]","name_x is an customer rating_xly rated,  food_x eatType_x located in area_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x has a customer rating from customer rating_x, serves food_x food costing from twenty to priceRange_x euros, familyFriendly_x and is located in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is an average priced food_x eatType_x. It familyFriendly_x has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","The food_x, familyFriendly_x eatType_x 'name_x', is located near the near_x along the area_x. It serves mostly sushi."
"name[name_x], priceRange[priceRange_x], near[near_x]","priceRange_x cost more more , it is near the near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is a familyFriendly_x restaurant near_x the area_x area, priceRange_x eatType_x in the medium price range"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a food_x restaurant located in area_x near near_x.  It is not a customer rating_x priceRange_xly priced food with a customer rating of 3.
"name[name_x], food[food_x], priceRange[priceRange_x]","name_x is a hearty British food_x offering low cost all day breakfast for priceRange_x, situated close to the shopping centre."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no]",name_x food_x for a low price but is not familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is familyFriendly_x food_x with customer rating_x customer ratings and a price range priceRange_x it is located in the area_x area close to the near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",The priceRange_xly priced food_x establishment name_x can be found in the area_x area neat the near_x. it familyFriendly_x has been rated customer rating_x by previous customers.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is found near near_x, area_x. They have a price range of priceRange_x for food_x food. They are said to be familyFriendly_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a familyFriendly_x in area_x. They serve food_x in the priceRange_x price range.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x food_x food with the customer rating customer rating_x, and located near near_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a highly rated eatType_x which serves customer rating_x near to the near_x in the area_x area and is considered to be familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is a restaurant providing food_x food in the priceRange_x priced range.  It is familyFriendly_x has a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a eatType_x near near_x in area_x.  It serves food_x food for customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",customer rating_x 3-near_x called name_x located food_x Hall.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","Located in the area_x near near_x, name_x is familyFriendly_x with food_x cuisine. Prices are priceRange_x. Customers give it an customer rating_x rating."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",Serving food_x food is name_x it is a customer rating_x rated location in the area_x area
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]",name_x is a familyFriendly_x restaurant. It does not allow children and is food_x near to near_x.
